ElapsedSec,TPS,TPSAccept,TPSSuccess,RecvPerSec,SendPerSec,SendDropSec
Total Time : 60.016 	 TPS : 83.245 	 TPS_Accept : 82.378 	 TPS_Success : 82.378 	 RecvSec : 2054.795 	 SendSec : 1079110.922 	 SendDropSec : 7305634.117
Total Time : 17703.576 	 TPS : 45.271 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3887.404 	 SendSec : 291001.361 	 SendDropSec : 19143789.692
Total Time : 17763.582 	 TPS : 44.062 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4167.349 	 SendSec : 310979.857 	 SendDropSec : 20523208.628
Total Time : 17823.584 	 TPS : 45.115 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3855.125 	 SendSec : 289407.306 	 SendDropSec : 18984006.617
Total Time : 17883.606 	 TPS : 45.417 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3908.673 	 SendSec : 295477.588 	 SendDropSec : 19245628.613
Total Time : 17943.611 	 TPS : 43.696 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4129.877 	 SendSec : 312726.085 	 SendDropSec : 20334150.099
Total Time : 18003.632 	 TPS : 45.134 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4294.313 	 SendSec : 324430.857 	 SendDropSec : 21144522.708
Total Time : 18063.649 	 TPS : 46.104 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3866.531 	 SendSec : 294521.946 	 SendDropSec : 19035958.844
Total Time : 18123.672 	 TPS : 44.733 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4127.483 	 SendSec : 308429.741 	 SendDropSec : 20326497.496
Total Time : 18183.672 	 TPS : 44.833 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4013.806 	 SendSec : 307671.220 	 SendDropSec : 19759026.813
Total Time : 18243.690 	 TPS : 45.020 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3983.958 	 SendSec : 302814.517 	 SendDropSec : 19614660.206
Total Time : 18303.710 	 TPS : 45.169 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3923.350 	 SendSec : 296268.012 	 SendDropSec : 19318214.934
Total Time : 18363.729 	 TPS : 44.519 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3824.353 	 SendSec : 290200.919 	 SendDropSec : 18829382.565
Total Time : 18423.749 	 TPS : 36.638 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3859.670 	 SendSec : 287930.853 	 SendDropSec : 19007920.667
Total Time : 18483.772 	 TPS : 39.618 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3903.068 	 SendSec : 293925.042 	 SendDropSec : 19218969.129
Total Time : 18543.783 	 TPS : 42.026 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3766.220 	 SendSec : 291816.424 	 SendDropSec : 18537091.503
Total Time : 18603.795 	 TPS : 42.125 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4152.242 	 SendSec : 311672.759 	 SendDropSec : 20446951.362
Total Time : 18663.812 	 TPS : 43.471 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3638.846 	 SendSec : 288295.529 	 SendDropSec : 17903949.147
Total Time : 18723.822 	 TPS : 42.627 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4116.647 	 SendSec : 314055.352 	 SendDropSec : 20266667.921
Total Time : 18783.841 	 TPS : 43.820 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4072.707 	 SendSec : 304828.507 	 SendDropSec : 20056245.032
Total Time : 18843.847 	 TPS : 44.912 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4129.333 	 SendSec : 317850.384 	 SendDropSec : 20326359.224
Total Time : 18903.847 	 TPS : 45.950 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4029.051 	 SendSec : 309571.080 	 SendDropSec : 19833376.688
Total Time : 18963.849 	 TPS : 46.032 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4011.906 	 SendSec : 309124.863 	 SendDropSec : 19748117.886
Total Time : 19023.862 	 TPS : 45.957 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4021.572 	 SendSec : 301116.984 	 SendDropSec : 19804412.922
Total Time : 19083.862 	 TPS : 46.833 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3595.882 	 SendSec : 267602.234 	 SendDropSec : 17709879.679
Total Time : 19143.871 	 TPS : 45.060 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3912.765 	 SendSec : 300203.628 	 SendDropSec : 19261395.357
Total Time : 19203.876 	 TPS : 44.847 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4254.974 	 SendSec : 318071.324 	 SendDropSec : 20954184.574
Total Time : 19263.888 	 TPS : 45.107 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4020.615 	 SendSec : 305965.340 	 SendDropSec : 19794765.979
Total Time : 19323.893 	 TPS : 44.763 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4182.101 	 SendSec : 317622.639 	 SendDropSec : 20590384.058
Total Time : 19383.913 	 TPS : 45.035 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3969.658 	 SendSec : 301877.490 	 SendDropSec : 19544111.891
Total Time : 19443.919 	 TPS : 45.678 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4121.922 	 SendSec : 310792.209 	 SendDropSec : 20296389.229
Total Time : 19503.923 	 TPS : 45.080 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4046.095 	 SendSec : 306052.799 	 SendDropSec : 19922045.643
Total Time : 19563.945 	 TPS : 44.884 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4007.233 	 SendSec : 298135.660 	 SendDropSec : 19735647.400
Total Time : 19623.946 	 TPS : 45.399 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3823.824 	 SendSec : 288196.202 	 SendDropSec : 18828739.951
Total Time : 19683.962 	 TPS : 44.738 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3979.409 	 SendSec : 302827.613 	 SendDropSec : 19591912.418
Total Time : 19743.969 	 TPS : 46.044 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3846.719 	 SendSec : 291252.664 	 SendDropSec : 18940203.575
Total Time : 19803.977 	 TPS : 44.244 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4139.229 	 SendSec : 316698.810 	 SendDropSec : 20376959.641
Total Time : 19863.986 	 TPS : 45.744 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3997.158 	 SendSec : 296349.730 	 SendDropSec : 19687108.145
Total Time : 19924.005 	 TPS : 46.151 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3899.443 	 SendSec : 291101.600 	 SendDropSec : 19203904.186
Total Time : 19984.006 	 TPS : 45.266 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3887.050 	 SendSec : 288976.569 	 SendDropSec : 19144033.748
Total Time : 20044.023 	 TPS : 43.871 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4105.022 	 SendSec : 314384.903 	 SendDropSec : 20208247.637
Total Time : 20104.031 	 TPS : 43.311 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4217.946 	 SendSec : 322862.674 	 SendDropSec : 20764279.341
Total Time : 20164.035 	 TPS : 45.814 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3928.029 	 SendSec : 296838.073 	 SendDropSec : 19341081.997
Total Time : 20224.050 	 TPS : 44.156 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4120.318 	 SendSec : 322035.166 	 SendDropSec : 20277123.431
Total Time : 20284.063 	 TPS : 44.607 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4071.991 	 SendSec : 302781.072 	 SendDropSec : 20054717.656
Total Time : 20344.065 	 TPS : 44.982 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4010.067 	 SendSec : 307079.236 	 SendDropSec : 19740950.590
Total Time : 20404.076 	 TPS : 44.908 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4016.416 	 SendSec : 304944.579 	 SendDropSec : 19774781.067
Total Time : 20464.106 	 TPS : 43.978 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4075.800 	 SendSec : 302290.635 	 SendDropSec : 20074263.691
Total Time : 20524.130 	 TPS : 45.365 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3941.424 	 SendSec : 295071.576 	 SendDropSec : 19409769.382
Total Time : 20584.149 	 TPS : 45.102 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3962.178 	 SendSec : 295515.286 	 SendDropSec : 19513041.708
Total Time : 20644.169 	 TPS : 45.552 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3751.085 	 SendSec : 285819.554 	 SendDropSec : 18467541.265
Total Time : 20704.183 	 TPS : 45.306 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4016.134 	 SendSec : 308550.642 	 SendDropSec : 19769809.040
Total Time : 20764.203 	 TPS : 44.719 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4156.366 	 SendSec : 315840.886 	 SendDropSec : 20463508.271
Total Time : 20824.221 	 TPS : 45.920 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3927.377 	 SendSec : 296933.748 	 SendDropSec : 19337734.545
Total Time : 20884.221 	 TPS : 44.750 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3986.525 	 SendSec : 304461.090 	 SendDropSec : 19625856.190
Total Time : 20944.231 	 TPS : 43.526 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4194.289 	 SendSec : 321733.984 	 SendDropSec : 20647158.446
Total Time : 21004.234 	 TPS : 44.698 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4191.980 	 SendSec : 311194.541 	 SendDropSec : 20646158.247
Total Time : 21064.255 	 TPS : 45.818 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4022.012 	 SendSec : 302009.508 	 SendDropSec : 19805724.839
Total Time : 21124.264 	 TPS : 44.826 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4193.670 	 SendSec : 316253.134 	 SendDropSec : 20649572.953
Total Time : 21184.272 	 TPS : 44.961 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4052.771 	 SendSec : 298071.901 	 SendDropSec : 19963365.161
Total Time : 21244.282 	 TPS : 45.192 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4126.464 	 SendSec : 305362.133 	 SendDropSec : 20324477.821
Total Time : 21304.297 	 TPS : 44.672 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4006.058 	 SendSec : 305392.213 	 SendDropSec : 19722576.364
Total Time : 21364.309 	 TPS : 45.124 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4123.740 	 SendSec : 306109.301 	 SendDropSec : 20310128.645
Total Time : 21424.328 	 TPS : 44.602 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4128.587 	 SendSec : 309963.415 	 SendDropSec : 20330486.355
Total Time : 21484.329 	 TPS : 44.300 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3948.463 	 SendSec : 300958.583 	 SendDropSec : 19439053.411
Total Time : 21544.338 	 TPS : 45.976 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3986.704 	 SendSec : 302425.194 	 SendDropSec : 19628835.719
Total Time : 21604.340 	 TPS : 45.482 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4001.458 	 SendSec : 301341.485 	 SendDropSec : 19703631.122
Total Time : 21664.346 	 TPS : 45.212 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4073.084 	 SendSec : 309387.763 	 SendDropSec : 20053641.243
Total Time : 21724.348 	 TPS : 45.282 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4059.634 	 SendSec : 310448.518 	 SendDropSec : 19985356.647
Total Time : 21784.369 	 TPS : 44.950 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4050.839 	 SendSec : 308791.821 	 SendDropSec : 19943041.878
Total Time : 21844.383 	 TPS : 45.789 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3891.871 	 SendSec : 293879.977 	 SendDropSec : 19163278.829
Total Time : 21904.397 	 TPS : 44.823 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3812.336 	 SendSec : 290738.315 	 SendDropSec : 18768784.183
Total Time : 21964.403 	 TPS : 44.846 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3851.707 	 SendSec : 292108.052 	 SendDropSec : 18964234.436
Total Time : 22024.421 	 TPS : 44.387 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3884.784 	 SendSec : 289176.255 	 SendDropSec : 19132492.861
Total Time : 22084.442 	 TPS : 44.301 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3980.082 	 SendSec : 301905.674 	 SendDropSec : 19596183.689
Total Time : 22144.450 	 TPS : 44.727 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3947.561 	 SendSec : 295043.146 	 SendDropSec : 19440448.208
Total Time : 22204.460 	 TPS : 45.743 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4173.464 	 SendSec : 317787.873 	 SendDropSec : 20547061.886
Total Time : 22264.471 	 TPS : 44.892 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3972.765 	 SendSec : 301104.662 	 SendDropSec : 19560429.071
Total Time : 22324.472 	 TPS : 45.866 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3845.539 	 SendSec : 290881.116 	 SendDropSec : 18934665.065
Total Time : 22384.487 	 TPS : 45.388 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3772.055 	 SendSec : 295447.024 	 SendDropSec : 18562790.349
Total Time : 22444.498 	 TPS : 45.042 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3963.263 	 SendSec : 305743.930 	 SendDropSec : 19508305.594
Total Time : 22504.504 	 TPS : 44.579 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4343.758 	 SendSec : 325517.674 	 SendDropSec : 21390576.639
Total Time : 22564.525 	 TPS : 44.684 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4195.958 	 SendSec : 321003.490 	 SendDropSec : 20656287.208
Total Time : 22624.545 	 TPS : 45.285 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3950.004 	 SendSec : 305339.925 	 SendDropSec : 19442430.137
Total Time : 22684.550 	 TPS : 45.180 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3899.177 	 SendSec : 296245.486 	 SendDropSec : 19197433.994
Total Time : 22744.557 	 TPS : 44.562 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4287.992 	 SendSec : 331466.584 	 SendDropSec : 21105906.709
Total Time : 22804.568 	 TPS : 45.691 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4026.903 	 SendSec : 304949.916 	 SendDropSec : 19827237.489
Total Time : 22864.585 	 TPS : 45.138 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3841.976 	 SendSec : 295411.977 	 SendDropSec : 18912324.889
Total Time : 22924.601 	 TPS : 44.371 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3916.687 	 SendSec : 291523.132 	 SendDropSec : 19289616.196
Total Time : 22984.607 	 TPS : 44.862 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4003.436 	 SendSec : 301282.288 	 SendDropSec : 19713549.222
Total Time : 23044.611 	 TPS : 44.947 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4090.260 	 SendSec : 310359.677 	 SendDropSec : 20138528.976
Total Time : 23104.627 	 TPS : 44.855 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4142.939 	 SendSec : 315831.837 	 SendDropSec : 20396415.293
Total Time : 23164.638 	 TPS : 44.808 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3989.085 	 SendSec : 303044.365 	 SendDropSec : 19640061.540
Total Time : 23224.655 	 TPS : 45.770 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4025.952 	 SendSec : 304365.624 	 SendDropSec : 19823070.764
Total Time : 23284.670 	 TPS : 43.472 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4107.389 	 SendSec : 310773.492 	 SendDropSec : 20223683.171
Total Time : 23344.683 	 TPS : 44.690 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4112.882 	 SendSec : 303743.018 	 SendDropSec : 20258192.103
Total Time : 23404.686 	 TPS : 44.848 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3696.674 	 SendSec : 275381.450 	 SendDropSec : 18205921.135
Total Time : 23464.691 	 TPS : 45.063 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4043.922 	 SendSec : 295832.239 	 SendDropSec : 19921353.203
Total Time : 23524.709 	 TPS : 45.669 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3975.535 	 SendSec : 294110.877 	 SendDropSec : 19581255.508
Total Time : 23584.715 	 TPS : 44.429 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4095.250 	 SendSec : 304758.683 	 SendDropSec : 20169031.288
Total Time : 23644.722 	 TPS : 45.012 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4035.006 	 SendSec : 301074.887 	 SendDropSec : 19871587.913
Total Time : 23704.729 	 TPS : 46.378 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3825.210 	 SendSec : 293640.019 	 SendDropSec : 18830323.990
Total Time : 23764.741 	 TPS : 44.075 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4110.329 	 SendSec : 310681.481 	 SendDropSec : 20238495.774
Total Time : 23824.756 	 TPS : 45.305 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3783.950 	 SendSec : 283812.760 	 SendDropSec : 18633796.391
Total Time : 23884.779 	 TPS : 44.466 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3889.213 	 SendSec : 292460.387 	 SendDropSec : 19151346.519
Total Time : 23944.780 	 TPS : 45.749 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4005.483 	 SendSec : 303856.020 	 SendDropSec : 19721262.945
Total Time : 24004.798 	 TPS : 45.053 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3951.811 	 SendSec : 301555.220 	 SendDropSec : 19455227.313
Total Time : 24064.811 	 TPS : 43.691 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3922.985 	 SendSec : 299551.067 	 SendDropSec : 19313093.715
Total Time : 24124.819 	 TPS : 45.710 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4019.664 	 SendSec : 301591.936 	 SendDropSec : 19794395.361
Total Time : 24184.826 	 TPS : 45.111 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3977.873 	 SendSec : 296637.683 	 SendDropSec : 19590404.378
Total Time : 24244.846 	 TPS : 44.869 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4001.361 	 SendSec : 301848.153 	 SendDropSec : 19702613.189
Total Time : 24304.860 	 TPS : 44.773 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4103.643 	 SendSec : 312125.759 	 SendDropSec : 20203671.653
Total Time : 24364.869 	 TPS : 44.743 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4040.529 	 SendSec : 303782.725 	 SendDropSec : 19896479.115
Total Time : 24424.892 	 TPS : 45.099 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3983.545 	 SendSec : 299138.579 	 SendDropSec : 19616268.905
Total Time : 24484.895 	 TPS : 45.214 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3902.125 	 SendSec : 296984.806 	 SendDropSec : 19211427.718
Total Time : 24544.912 	 TPS : 45.204 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4110.503 	 SendSec : 316385.022 	 SendDropSec : 20233744.056
Total Time : 24604.922 	 TPS : 44.725 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3911.025 	 SendSec : 298648.812 	 SendDropSec : 19254230.252
Total Time : 24664.923 	 TPS : 45.400 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3885.880 	 SendSec : 291292.923 	 SendDropSec : 19135906.430
Total Time : 24724.932 	 TPS : 45.909 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3998.047 	 SendSec : 304292.208 	 SendDropSec : 19683649.477
Total Time : 24784.954 	 TPS : 44.851 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3919.206 	 SendSec : 289231.977 	 SendDropSec : 19304510.512
Total Time : 24844.959 	 TPS : 44.529 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4050.769 	 SendSec : 308482.360 	 SendDropSec : 19942993.840
Total Time : 24904.965 	 TPS : 45.062 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3980.814 	 SendSec : 297485.542 	 SendDropSec : 19604256.175
Total Time : 24964.969 	 TPS : 43.930 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4136.151 	 SendSec : 320303.268 	 SendDropSec : 20357992.978
Total Time : 25024.975 	 TPS : 44.962 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4085.705 	 SendSec : 309178.884 	 SendDropSec : 20116951.094
Total Time : 25084.987 	 TPS : 45.124 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3898.239 	 SendSec : 291428.066 	 SendDropSec : 19197532.908
Total Time : 25145.006 	 TPS : 44.719 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4130.068 	 SendSec : 307099.581 	 SendDropSec : 20340758.945
